,ruck_num,which_side,shoot_position,time_log,group_num,num_of_groups,lamp_num,x,y
0,output,L,1,20201119111615,0.0,2.0,0.0,319,433
1,output,L,1,20201119111615,0.0,2.0,1.0,388,431
2,output,L,1,20201119111615,0.0,2.0,2.0,467,430
3,output,L,1,20201119111615,0.0,2.0,3.0,641,426
4,output,L,1,20201119111615,0.0,2.0,4.0,732,425
5,output,L,1,20201119111615,0.0,2.0,5.0,828,426
6,output,L,1,20201119111615,0.0,2.0,6.0,1033,427
7,output,L,1,20201119111615,0.0,2.0,7.0,1131,430
8,output,L,1,20201119111615,0.0,2.0,8.0,1226,432
9,output,L,1,20201119111615,0.0,2.0,9.0,1438,432
10,output,L,1,20201119111615,1.0,2.0,0.0,342,858
11,output,L,1,20201119111615,1.0,2.0,1.0,408,871
12,output,L,1,20201119111615,1.0,2.0,2.0,484,875
13,output,L,1,20201119111615,1.0,2.0,3.0,648,896
14,output,L,1,20201119111615,1.0,2.0,4.0,734,901
15,output,L,1,20201119111615,1.0,2.0,5.0,823,910
16,output,L,1,20201119111615,1.0,2.0,6.0,1011,919
17,output,L,1,20201119111615,1.0,2.0,7.0,1104,920
18,output,L,1,20201119111615,1.0,2.0,8.0,1196,921
19,output,L,1,20201119111615,1.0,2.0,9.0,1403,935
